地区,年份,人口出生率(‰),地方财政教育支出(亿元),全体居民人均消费支出(元),地区生产总值(亿元),地区生产总值指数(上年=100),医疗卫生机构床位数(万张),医疗卫生机构数(个),地方财政医疗卫生支出(亿元),医院病床使用率(%),每万人拥有卫生技术人员数(人),每万人医疗机构床位数(张),年末常住人口(万人),人口自然增长率(‰),人口死亡率(‰)
广东省,2022年,8.3,3871.14,32169.0,132547.1,102.1,60.83,59531.0,2081.25,72.2,72.0,48.06,12657.0,3.33,4.97
广西壮族自治区,2022年,8.51,1141.72,18343.0,26419.7,102.8,34.17,34500.0,635.61,79.5,82.0,67.7,5047.0,1.43,7.08
海南省,2022年,8.6,313.91,21500.0,6912.8,100.4,6.12,6384.0,251.52,63.6,81.0,59.62,1027.0,2.44,6.16
重庆市,2022年,5.98,822.17,25371.0,28771.8,102.5,25.08,22259.0,484.87,75.9,79.0,78.06,3213.0,-2.11,8.09
四川省,2022年,6.39,1865.04,22302.0,57609.4,102.9,68.39,74041.0,1170.92,79.1,83.0,81.67,8374.0,-2.65,9.04
贵州省,2022年,11.03,1155.33,17939.0,20579.5,101.2,30.97,29150.0,583.59,75.2,83.0,80.31,3856.0,3.71,7.32
云南省,2022年,8.14,1164.89,18951.0,29301.1,104.3,34.12,27528.0,725.88,76.2,85.0,72.72,4693.0,-0.07,8.21
西藏自治区,2022年,14.24,316.67,15886.0,2235.4,101.4,2.0,6906.0,189.88,48.6,73.0,54.91,364.0,8.76,5.48
陕西省,2022年,7.36,1060.38,19848.0,33035.6,104.5,28.96,34779.0,664.04,70.0,96.0,73.2,3956.0,-0.28,7.64
甘肃省,2022年,8.47,699.58,17489.0,11553.6,104.6,18.89,25266.0,402.29,63.0,83.0,75.8,2492.0,-0.04,8.51
青海省,2022年,10.6,220.95,17261.0,3677.4,102.5,4.29,6376.0,177.44,59.7,88.0,72.19,595.0,3.37,7.23
宁夏回族自治区,2022年,10.6,212.35,19136.0,5168.1,104.3,4.18,4607.0,137.44,64.3,85.0,57.37,728.0,4.41,6.19
新疆维吾尔自治区,2022年,6.53,1088.62,17927.0,18550.5,103.6,17.96,16999.0,595.56,67.4,80.0,69.42,2587.0,0.77,5.76
北京市,2021年,6.35,1147.83,43640.0,44350.7,109.2,13.03,10699.0,632.67,73.2,132.0,59.51,2189.0,0.96,5.39
天津市,2021年,5.3,479.25,33188.0,16093.2,106.8,6.87,6076.0,182.58,68.4,89.0,50.02,1373.0,-0.93,6.23
河北省,2021年,7.15,1628.81,19954.0,41205.4,106.7,45.5,88162.0,853.49,68.9,75.0,61.09,7448.0,-0.43,7.58
山西省,2021年,7.06,778.0,17191.0,23087.8,109.4,22.89,41007.0,416.78,67.0,81.0,65.79,3480.0,-0.26,7.32
内蒙古自治区,2021年,6.26,641.29,22658.0,21584.8,106.9,16.66,24948.0,362.73,60.1,88.0,69.42,2400.0,-1.28,7.54
辽宁省,2021年,4.71,703.64,23831.0,28471.0,106.0,32.45,33051.0,399.25,62.7,79.0,76.74,4229.0,-4.18,8.89
吉林省,2021年,4.7,486.96,19605.0,13431.1,106.6,17.65,25344.0,279.72,66.4,92.0,74.34,2375.0,-3.38,8.08
黑龙江省,2021年,3.59,570.95,20636.0,15292.8,106.2,26.05,20578.0,392.28,55.5,80.0,83.37,3125.0,-5.11,8.7
